time,pressure
0.0,44.105289
0.118889,43.185843
0.261111,42.053471
0.380556,41.772798
0.526944,41.2792
0.644444,40.940457
0.789722,43.631048
0.908056,44.956987
1.06,43.331018
1.176667,42.450285
1.319722,41.801833
1.462778,41.453411
1.582222,40.9211
1.729722,42.101863
1.838889,44.366606
1.989722,44.085933
2.106944,43.098737
2.249722,42.06315
2.391944,41.685693
2.509722,41.356627
2.651944,41.066276
2.794722,43.805259
2.912222,45.034415
3.064167,43.476194
3.1825,42.469642
3.325278,41.714728
3.442222,41.414698
3.588056,40.717854
3.705278,41.482446
3.848056,44.095611
4.000556,43.534265
4.119722,42.585783
4.263333,41.550195
4.372222,41.443733
4.514722,40.959814
4.633889,39.972618
4.776944,43.350375
4.921389,44.850525
5.051389,43.253591
5.193333,42.169612
5.314167,41.52116
5.456667,41.211452
5.574444,40.582356
5.720278,42.392215
5.863889,44.511782
5.981111,43.582656
6.098056,42.537391
6.241389,41.46309
6.384167,41.201773
6.501667,40.630748
6.646667,39.798407
6.763611,43.311662
6.906667,44.995701
7.0575,43.137451
7.175278,42.285753
7.319167,41.453411
7.4625,41.153381
7.579444,40.650105
7.721667,42.547069
7.839167,44.066576
7.990278,43.62137
8.108889,42.47932
8.244722,41.492125
8.393611,40.911422
8.511944,40.301683
8.66,40.804959
8.779167,43.176164
8.924444,44.356927
9.056389,42.701923
9.175833,41.753441
9.3225,41.269522
9.439444,40.940457
9.583611,40.369432
9.726111,42.401893
9.845,44.124646
9.997778,43.62137
10.115556,42.605139
10.260556,41.559874
10.380278,41.346949
10.522222,40.775924
10.651944,40.766246
10.806667,43.514908
10.928333,44.289179
11.064722,42.750315
11.195,41.724406
11.323611,41.182416
11.4525,40.543643
11.5825,39.875834
11.729167,42.411572
11.857778,44.008506
11.993889,43.253591
12.125,42.159934
12.249722,41.2792
12.401111,41.027562
12.434722,41.027562
12.523889,40.543643
12.665556,40.098437
12.810556,41.617944
13.003333,40.67914
13.132222,40.456537
13.265556,40.340397
13.388889,39.643553
13.409722,39.430628
13.588889,38.191795
13.725833,40.456537
13.855556,41.627622
14.000833,41.269522
14.136667,40.746889
14.263333,40.030688
14.396111,39.246739
14.532778,41.714728
14.667222,43.398767
14.8025,44.889239
14.949444,46.505529
14.973889,46.040967
15.108333,44.540817
15.241667,43.389089
15.374167,42.547069
15.509167,41.811512
15.6425,41.211452
15.775556,42.972918
15.908333,44.947309
16.045278,43.843973
16.173611,42.953561
16.326111,41.927652
16.454722,41.366306
16.583611,40.930778
16.808611,42.953561
16.955278,43.989149
17.141389,42.750315
17.275833,42.150255
17.473889,41.16306
17.599722,40.67914
17.73,41.608266
17.858889,43.534265
17.999722,43.505229
18.121944,42.837421
18.259722,42.101863
18.395556,41.317914
18.520278,40.708175
18.653611,40.117794
18.8125,42.488999
19.003333,43.127772
19.126111,42.450285
19.265,41.76312
