time,pressure
0.0,265.802557
1.8,226.688323
3.566667,219.504056
5.25,220.53674
8.583333,218.111336
9.7,192.14132
24.216667,160.764956
25.933333,143.169648
28.016667,141.264942
30.033333,139.371849
32.55,137.78169
34.316667,136.378324
36.6,135.214014
37.783333,134.079707
39.75,132.804096
42.033333,131.748184
43.95,130.955524
46.233333,130.351592
48.483333,129.811538
49.55,129.362461
52.316667,129.004361
54.05,128.646261
56.55,128.332681
58.3,128.046201
60.083333,127.749074
62.416667,127.390974
64.65,127.096751
65.866667,126.909958
69.35,126.766718
72.0,126.60896
74.316667,126.415392
76.566667,126.151172
78.5,125.895663
80.2,125.651768
81.9,125.360448
84.333333,125.005251
86.516667,124.673283
88.416667,124.45068
89.983333,124.339378
92.216667,124.290018
94.55,124.25808
96.95,124.155489
98.4,123.946436
100.416667,123.55059
102.266667,123.078284
104.633333,122.547909
106.35,122.110446
108.316667,121.559745
110.45,120.959685
112.566667,120.472863
114.916667,120.297684
116.7,120.297684
118.6,120.343172
120.483333,120.385757
122.683333,120.391564
124.916667,120.360593
126.316667,120.319944
128.383333,120.260906
131.033333,120.199932
132.4,120.105084
134.883333,119.996686
136.616667,119.885384
139.083333,119.811829
140.85,119.754726
141.866667,119.703431
144.6,119.63665
146.233333,119.554384
148.416667,119.468246
151.066667,119.404369
152.616667,119.391787
154.833333,119.424693
157.216667,119.501153
158.833333,119.597936
160.616667,119.722788
162.45,119.854414
164.166667,120.0083
166.966667,120.089598
169.366667,120.083791
171.233333,119.982168
172.7,119.857317
175.283333,119.718916
178.066667,119.463407
192.45,119.210801
194.333333,119.025944
197.0,118.947549
198.516667,118.829472
200.866667,118.743335
202.616667,118.688168
203.266667,118.652358
205.016667,118.62913
205.65,118.630098
206.3,118.646551
208.033333,118.708493
210.533333,118.825601
212.316667,118.953356
214.066667,119.040461
216.616667,119.043365
218.566667,118.95142
220.766667,118.779145
222.533333,118.552671
224.883333,118.282644
226.766667,118.032941
229.016667,117.877119
231.3,117.85002
233.0,117.914865
234.216667,118.035845
236.816667,118.216831
239.35,118.465565
241.7,118.667843
243.45,118.784952
245.183333,118.850765
247.55,118.908835
249.366667,118.936903
252.416667,118.956259
253.316667,118.958195
256.2,118.952388
256.716667,118.970777
259.05,119.021105
260.3,119.118856
263.366667,119.245643
264.466667,119.377269
266.65,119.498249
269.583333,119.588258
270.733333,119.6502
273.7,119.670524
274.883333,119.689881
277.333333,119.700527
279.05,119.754726
280.85,119.832153
282.55,119.938616
284.5,120.105084
286.816667,120.295748
288.566667,120.445763
291.416667,120.522222
293.05,120.559968
295.85,120.555129
297.0,120.528029
298.883333,120.474798
301.066667,120.399307
303.5,120.339301
305.316667,120.322848
307.066667,120.33059
308.8,120.373175
311.0,120.449634
312.65,120.525126
315.533333,120.564807
317.383333,120.561904
319.55,120.541579
320.75,120.535772
323.216667,120.532869
324.983333,120.495123
327.35,120.436085
329.083333,120.408017
331.483333,120.449634
333.383333,120.549322
335.7,120.617071
338.466667,120.625781
342.166667,120.593842
342.766667,120.592875
344.55,120.590939
362.2,120.579325
364.066667,120.606424
365.25,120.639331
367.033333,120.674173
369.45,120.71579
371.3,120.76515
373.55,120.821285
375.25,120.887098
377.533333,120.956782
379.033333,121.058405
381.366667,121.196806
383.583333,121.316818
385.316667,121.352628
387.416667,121.294558
389.666667,121.192935
391.416667,121.082601
393.283333,120.950007
395.516667,120.804831
397.383333,120.711919
399.566667,120.712887
401.883333,120.774828
403.7,120.862902
406.466667,120.954846
407.4,121.05163
409.066667,121.112604
411.516667,121.105829
413.366667,121.03808
415.083333,120.967428
418.166667,120.923875
420.7,120.898712
421.566667,120.883226
423.833333,120.883226
425.95,120.919036
427.783333,120.983881
430.05,121.058405
431.883333,121.099054
433.816667,121.088408
435.55,121.026466
437.35,120.942264
439.6,120.834834
441.333333,120.743857
443.683333,120.685787
445.516667,120.674173
447.866667,120.70708
450.316667,120.774828
451.533333,120.858062
453.75,120.953878
455.933333,121.005174
458.333333,120.967428
458.833333,120.85903
461.916667,120.739018
463.516667,120.601585
465.716667,120.464152
469.316667,120.364465
469.783333,120.302523
471.45,120.254131
473.7,120.212514
475.816667,120.208643
477.6,120.25026
480.05,120.301555
482.0,120.341237
483.45,120.374143
486.233333,120.404146
487.966667,120.404146
490.333333,120.370272
492.083333,120.323815
493.8,120.283166
496.883333,120.255099
497.916667,120.225096
500.266667,120.193157
501.5,120.220257
504.333333,120.318008
505.9,120.433181
508.333333,120.454474
516.316667,120.413824
