time,pressure
0.0,236.459575
0.25,232.78082
0.5,227.554491
0.75,223.393752
1.0,219.038478
1.5,211.101232
2.0,203.164955
3.0,187.583719
4.0,174.613713
5.0,162.031809
6.0,150.030609
7.0,138.029409
8.0,126.996048
9.0,116.05947
10.833333,99.219076
12.833333,81.604412
15.016667,63.699395
16.833333,50.343221
17.166667,48.020408
17.416667,50.052869
17.666667,51.214276
17.916667,52.56925
18.166667,53.633873
18.2,54.021008
18.533333,50.923924
19.2,54.31136
19.533333,51.020708
20.2,54.214576
20.533333,50.923924
23.166667,52.375682
25.5,49.085031
25.75,50.246437
26.25,50.730357
26.55,50.730357
27.15,52.666034
27.6,51.214276
28.5,54.117792
28.7,52.278898
29.5,54.892063
29.65,53.149953
30.633333,56.053469
30.75,54.698495
31.6,56.82774
31.75,55.085631
32.616667,57.408444
32.75,55.666334
33.616667,57.989147
33.75,56.343821
34.583333,58.473066
34.75,56.537389
36.583333,58.956986
36.75,57.214876
37.55,59.247337
37.75,57.31166
38.55,59.344121
38.75,57.602011
40.55,59.634473
40.75,57.698795
42.533333,59.537689
42.75,57.31166
43.533333,59.247337
43.75,57.021308
45.583333,58.085931
45.866667,57.214876
48.533333,58.56985
48.75,56.150253
49.533333,58.085931
49.75,55.956686
50.533333,57.602011
50.75,55.666334
51.533333,57.505228
51.75,55.472766
52.533333,57.31166
52.75,55.375982
53.533333,57.214876
53.75,54.892063
54.533333,56.730957
54.75,54.504928
55.533333,56.343821
55.75,54.408144
56.533333,56.150253
56.75,54.31136
59.533333,54.795279
59.75,52.472466
60.55,54.408144
60.75,52.182115
61.583333,54.117792
61.75,52.182115
62.583333,54.214576
62.75,52.182115
63.583333,54.117792
63.75,52.182115
64.583333,54.117792
64.75,52.182115
65.583333,54.117792
65.75,52.182115
66.583333,54.021008
66.75,52.182115
68.683333,52.762818
68.966667,52.762818
70.666667,53.440305
70.95,52.56925
72.6,53.537089
72.883333,52.278898
74.583333,53.537089
74.75,51.698195
76.733333,53.053169
77.25,51.698195
77.583333,53.246737
77.75,51.504628
78.583333,53.246737
78.75,51.504628
79.583333,53.149953
79.75,51.407844
80.583333,53.053169
80.75,51.31106
81.583333,53.053169
81.75,51.214276
82.583333,52.956386
82.75,51.214276
83.583333,52.859602
83.75,51.117492
84.583333,52.762818
84.75,51.020708
85.583333,52.666034
85.75,50.923924
87.916667,54.795279
88.083333,52.472466
88.916667,54.117792
89.083333,52.278898
89.916667,53.924224
90.083333,52.085331
90.916667,53.730657
91.083333,51.988547
91.916667,53.633873
92.083333,51.891763
92.933333,53.440305
93.083333,51.891763
94.966667,53.149953
95.2,52.278898
96.05,53.246737
96.333333,52.278898
98.05,52.762818
98.35,52.278898
98.95,53.537089
99.1,51.988547
100.066667,53.343521
100.35,52.182115
102.033333,53.343521
102.316667,52.375682
103.983333,53.149953
104.283333,52.472466
108.966667,53.149953
109.233333,52.278898
110.083333,53.149953
110.366667,51.988547
112.083333,53.149953
112.366667,52.472466
114.066667,53.149953
114.35,52.085331
116.066667,53.053169
116.35,52.375682
120.0,52.278898
120.3,52.182115
122.083333,51.504628
122.933333,53.053169
123.083333,51.601411
126.033333,51.891763
126.3,51.891763
127.95,52.56925
128.25,51.794979
146.75,50.633573
170.75,51.698195
194.75,53.149953
218.75,54.31136
242.75,54.504928
266.75,54.31136
290.75,54.214576
314.75,55.182415
338.75,56.343821
362.75,57.505228
386.75,56.150253
410.75,55.472766
434.75,55.56955
458.75,53.053169
482.75,53.440305
506.75,54.214576
530.75,53.924224
554.75,54.214576
578.75,54.601711
602.75,54.504928
626.75,55.859902
650.75,72.409944
674.75,89.05677
698.75,81.023708
722.75,70.280699
746.75,62.634773
770.75,61.763718
794.75,59.634473
818.75,49.56895
842.75,49.762518
866.75,49.762518
890.75,50.633573
914.75,61.376582
938.75,68.248237
962.75,70.667834
986.75,69.119292
1010.75,63.892963
1034.75,64.667234
1058.75,63.021908
1082.75,69.990347
1106.75,71.248537
1130.75,50.633573
1154.75,54.31136
1178.75,62.731557
1202.75,67.183615
1226.75,70.377483
1250.75,72.506728
1274.75,71.442105
1298.75,69.603212
1322.75,66.31256
1346.75,66.31256
1370.75,65.247937
1394.75,64.957586
1418.75,65.151153
1442.75,64.667234
1466.75,63.699395
1490.75,59.731257
1514.75,59.924824
1538.75,59.634473
1562.75,60.602311
1586.75,61.183015
1610.75,64.280099
1634.75,74.732757
1658.75,78.894463
1682.75,84.411144
1706.75,76.765218
1730.75,76.378083
1754.75,81.410844
1898.75,82.959386
1922.75,86.830741
1946.75,89.831041
1970.75,90.508528
1994.75,89.734257
2018.75,83.346521
2042.75,78.216976
2066.75,73.184215
2090.75,72.409944
2114.75,71.926024
2138.75,71.732457
2162.75,72.700295
2186.75,71.829241
2210.75,70.474266
2234.75,72.31316
2258.75,71.248537
2282.75,71.151754
2306.75,70.474266
2330.75,70.474266
2354.75,71.248537
2378.75,71.345321
2402.75,71.829241
2426.75,70.958186
2450.75,69.506428
2474.75,71.151754
2498.75,71.248537
2522.75,70.667834
2546.75,69.603212
2570.75,69.506428
2594.75,65.151153
2618.75,58.085931
2642.75,59.440905
2666.75,59.537689
2690.75,59.440905
2714.75,66.699695
2738.75,66.796479
2762.75,68.441805
2786.75,70.474266
2810.75,63.021908
2834.75,57.602011
2858.75,57.021308
2882.75,58.279499
2906.75,58.56985
2930.75,58.860202
2954.75,61.086231
2978.75,67.183615
3002.75,67.957886
3026.75,68.248237
3050.75,68.828941
3074.75,68.732157
3098.75,68.925724
3122.75,69.603212
3146.75,67.861102
3170.75,68.925724
3194.75,62.925124
3218.75,61.57015
3242.75,72.603512
3266.75,69.506428
3290.75,68.828941
3314.75,69.216076
3338.75,69.603212
3362.75,68.441805
3386.75,70.280699
3410.75,73.280999
3434.75,74.152054
3458.75,78.604112
3482.75,71.151754
3506.75,70.764618
3530.75,70.667834
3554.75,55.666334
3578.75,49.56895
3602.75,51.117492
3626.75,60.021608
3650.75,61.473366
3674.75,54.698495
3698.75,87.798579
3722.75,95.541289
3746.75,88.282499
3770.75,79.862302
3794.75,68.828941
3818.75,67.764318
3842.75,66.118992
3866.75,63.989747
3890.75,63.699395
3914.75,63.602611
3938.75,63.505828
3962.75,64.57045
3986.75,64.280099
4010.75,65.731857
4034.75,67.183615
4058.75,67.280399
4082.75,69.119292
4106.75,70.474266
4130.75,67.473966
4154.75,60.408744
4178.75,77.442705
4202.75,66.118992
4226.75,50.149653
4250.75,42.31016
4274.75,55.085631
4298.75,64.280099
4322.75,52.56925
4346.75,69.216076
4370.75,82.862602
